GitHub Repo,domain,Lines of Code,Stars,Commits,Contributor Count,Project Size,unused-argument,no-member,protected-access,no-self-use,too-many-arguments,redefined-outer-name,too-many-locals,unsubscriptable-object,syntax-error,too-few-public-methods,attribute-defined-outside-init,abstract-method,no-else-return,unused-variable,fixme,too-many-instance-attributes,redefined-builtin,arguments-differ,logging-fstring-interpolation,no-value-for-parameter,Total_Python_Smells,Python_Smell_Density
openvinotoolkit/openvino,Natural Language Processing,145379,8910,20074,611,large,691,122,194,985,1573,252,326,278,4,96,739,97,164,239,225,33,550,158,247,43,7016,48.2600650712964
PacktPublishing/Deep-Reinforcement-Learning-Hands-On,Reinforcement Learning,11006,3027,1200,12,medium,9,3,27,14,24,305,39,0,2,43,42,1,3,19,3,11,6,2,0,0,553,50.24532073414501
PaddlePaddle/models,Natural Language Processing,45510,6934,5074,269,large,132,23,40,176,239,101,305,3,1,208,35,2,110,372,20,67,85,29,89,0,2037,44.759393539881344
PaddlePaddle/PARL,Reinforcement Learning,48648,3410,518,39,large,73,40,147,158,245,122,182,30,0,252,305,46,41,346,6,148,23,122,0,6,2292,47.11396151948693
pgmpy/pgmpy,Data Science / Traditional ML,45648,3051,3252,153,large,44,31,78,125,47,63,62,42,0,16,96,2,119,73,29,36,11,44,38,1,957,20.964773922187174
philipperemy/keract,ML Frameworks / Libraries,1080,1053,417,10,small,0,0,10,5,5,0,4,0,0,3,0,0,1,2,0,0,1,0,0,0,31,28.703703703703702
philipperemy/keras-tcn,ML Frameworks / Libraries,1306,1971,571,16,small,8,1,10,2,4,2,3,0,0,3,0,0,5,3,1,2,0,0,0,0,44,33.6906584992343
Project-MONAI/MONAI,Computer Vision,150944,6865,3270,229,large,272,306,94,725,884,222,389,23,0,243,85,62,96,74,46,167,284,148,166,8,4294,28.447636209455162
pyannote/pyannote-audio,Reinforcement Learning,10618,8363,2402,66,medium,68,55,20,32,45,50,46,20,0,15,29,2,26,34,32,13,6,0,0,0,493,46.43058956488981
pymc-devs/pymc3,Data Science / Traditional ML,59576,9265,10310,444,large,244,383,139,902,215,232,152,540,76,170,180,34,144,609,62,27,100,136,18,15,4378,73.48596750369276
pyro-ppl/pyro,ML Frameworks / Libraries,89231,8867,2513,151,large,314,191,580,44,185,312,293,7,0,83,181,652,110,248,102,51,57,64,12,4,3490,39.11196781387635
pytorch/audio,ML Frameworks / Libraries,40441,2742,2442,217,large,90,183,108,102,198,154,117,2,0,36,54,21,31,60,7,45,89,17,31,0,1345,33.258326945426674
pytorch/botorch,ML Frameworks / Libraries,89598,3353,2305,112,large,86,48,703,73,264,19,324,279,4,39,104,40,54,59,111,42,11,109,11,20,2400,26.786312194468625
pytorch/builder,ML Frameworks / Libraries,685,354,2799,114,small,0,12,0,0,1,1,0,4,0,0,0,0,0,0,0,1,2,0,0,0,21,30.656934306569344
pytorch/captum,ML Frameworks / Libraries,42238,5416,1367,110,large,97,3,40,56,231,6,103,12,0,22,13,9,64,24,30,19,162,33,3,0,927,21.947061887399972
pytorch/examples,Reinforcement Learning,7428,23429,835,258,small,17,9,4,15,32,92,20,0,0,9,6,3,4,18,1,17,19,6,5,1,278,37.42595584275713
pytorch/fairseq,ML Frameworks / Libraries,145783,31839,2329,288,large,402,161,159,357,657,249,472,1,0,121,193,285,279,287,152,264,190,400,276,24,4929,33.81052660461096
pytorch/ignite,ML Frameworks / Libraries,48124,4700,1838,211,large,803,41,756,118,122,292,142,9,0,66,30,22,40,215,7,16,10,14,33,1,2737,56.87390906824038
pytorch/serve,MLOps / Deployment,31729,4350,3891,179,large,131,24,68,194,43,294,33,0,0,51,191,1,51,106,20,22,20,15,117,4,1385,43.650918717892154
pytorch/text,Natural Language Processing,14307,3560,1313,143,medium,8,20,65,35,40,29,33,0,0,4,32,5,37,33,23,8,49,1,1,1,424,29.635842594534143
pytorch/tutorials,ML Frameworks / Libraries,14427,8811,2771,675,medium,38,60,96,37,34,679,18,4,0,14,4,29,13,39,2,7,49,15,0,6,1144,79.29576488528453
pytorch/vision,Computer Vision,76374,17178,4118,620,large,184,25,343,688,358,100,241,1687,0,124,5,27,110,107,157,46,243,31,0,3,4479,58.64561238117684
PyTorchLightning/pytorch-lightning,ML Frameworks / Libraries,86858,30179,10863,967,large,933,94,1370,346,175,115,86,837,14,500,146,81,0,32,106,61,49,48,84,2,5079,58.474751893895785
QData/TextAttack,Natural Language Processing,25560,3277,2772,56,medium,27,26,55,53,37,50,26,0,0,14,30,1,59,21,20,25,5,75,69,1,594,23.23943661971831
quantumblacklabs/kedro,MLOps / Deployment,24084,10549,4147,238,medium,116,26,273,869,72,507,14,17,2,47,10,1,13,4,1,2,16,10,10,0,2010,83.45789735924265
quantumlib/Cirq,ML Frameworks / Libraries,169329,4712,4475,243,large,351,1505,1504,633,152,315,172,141,34,499,18,643,74,24,58,25,4,23,33,0,6208,36.662355532720326
ray-project/ray,Natural Language Processing,637199,39131,27237,890,large,7166,3209,6420,3389,802,3054,830,179,56,2629,785,216,1086,834,1579,403,419,247,1314,162,34779,54.581064942035376
ria-com/nomeroff-net,Computer Vision,10722,486,1542,9,medium,83,24,4,7,60,56,47,0,0,9,17,6,9,105,1,20,3,18,0,0,469,43.74183920910278
robertness/causalML,ML Frameworks / Libraries,2330,782,367,50,small,8,0,0,2,3,19,8,0,0,3,0,1,1,17,0,3,2,0,0,0,67,28.755364806866954
ROCmSoftwarePlatform/tensorflow-upstream,ML Frameworks / Libraries,757020,696,188754,553,large,365,4769,4608,1733,2201,60,1369,541,1,843,634,1902,1795,521,2703,246,6,465,0,2370,27132,35.84053261472616
RussTedrake/underactuated,Domain-Specific Applications,5955,870,1915,34,small,21,4,6,2,8,10,7,0,1,10,4,0,0,9,5,3,5,0,0,0,95,15.95298068849706
rusty1s/pytorch_geometric,ML Frameworks / Libraries,124071,22939,7889,514,large,216,45,1035,150,569,692,303,29,0,100,180,184,186,51,132,128,77,234,26,46,4383,35.32654689653505
rusty1s/pytorch_scatter,ML Frameworks / Libraries,1450,1690,1049,30,small,20,0,0,0,3,5,3,0,0,0,0,0,4,3,0,0,1,0,0,0,39,26.896551724137932
rwightman/pytorch-image-models,Computer Vision,83829,35368,2940,157,large,263,7,240,177,811,7,371,13,0,24,24,30,135,150,144,276,38,42,70,4,2826,33.71148409261711
rwth-i6/returnn,ML Frameworks / Libraries,145490,370,12170,57,large,297,158,577,82,319,455,509,2,1,280,81,101,188,252,91,123,48,173,7,199,3943,27.101519004742592
scikit-learn-contrib/imbalanced-learn,Data Science / Traditional ML,16049,7038,896,82,medium,82,167,41,24,18,163,39,2,0,5,121,6,17,42,21,10,4,44,0,1,807,50.283506760545826
SeldonIO/alibi,Domain-Specific Applications,20797,2558,677,22,medium,178,16,190,27,129,521,119,1,0,77,70,0,78,49,71,23,12,132,3,47,1743,83.81016492763379
SeldonIO/alibi-detect,Domain-Specific Applications,24028,2429,746,25,medium,178,16,190,27,129,521,119,1,0,77,70,0,78,49,71,23,12,132,3,47,1743,72.54036956883635
SeldonIO/seldon-core,MLOps / Deployment,3289,4638,1207,38,small,11,12,203,10,10,23,4,0,0,3,5,0,0,12,0,1,1,0,0,0,295,89.69291577987231
sigopt/sigopt-examples,Data Science / Traditional ML,5255,201,601,24,small,0,22,0,27,20,9,15,0,6,10,3,0,3,18,0,5,1,0,0,3,142,27.02188392007612
sisl/NeuralVerification.jl,Domain-Specific Applications,61,232,932,13,small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
skorch-dev/skorch,ML Frameworks / Libraries,20587,6113,1123,62,medium,65,44,18,1072,162,19,27,1,0,57,115,5,4,5,9,16,7,31,0,0,1657,80.48768640404138
slundberg/shap,Data Science / Traditional ML,23375,24462,2867,228,medium,125,98,25,37,94,57,102,14,0,29,49,0,79,13,78,26,8,25,24,15,898,38.41711229946524
snap-stanford/ogb,Domain-Specific Applications,21473,2036,679,25,medium,106,17,3,75,182,216,134,0,0,18,59,1,53,68,13,44,34,1,1,4,1029,47.92064453034043
snipsco/tract,ML Frameworks / Libraries,1472,2601,8101,69,small,2,0,4,0,1,0,4,0,0,0,0,0,0,2,0,1,3,0,0,0,17,11.54891304347826
snorkel-team/snorkel,Computer Vision,7633,5918,2693,69,small,19,2,54,46,13,17,6,1,0,40,56,3,7,17,2,6,2,12,23,0,326,42.70928861522337
SPFlow/SPFlow,ML Frameworks / Libraries,16505,304,650,22,medium,118,133,24,17,51,181,41,1,0,14,17,1,33,55,11,8,3,2,0,7,717,43.44138139957589
spmallick/learnopencv,Computer Vision,120110,22329,2608,81,large,431,74,40,256,433,902,570,113,19,386,262,45,142,589,27,148,109,60,165,29,4800,39.963366913662476
sql-machine-learning/elasticdl,ML Frameworks / Libraries,21950,743,1829,23,medium,53,115,248,26,39,50,39,0,0,49,40,18,43,37,28,27,20,33,0,17,882,40.182232346241456
stanfordnlp/stanza,Natural Language Processing,51429,7607,4785,52,large,294,159,240,132,240,389,215,2,1,18,20,11,88,263,223,43,37,32,103,20,2530,49.19403449415699
stephenhky/PyShortTextCategorization,Natural Language Processing,2590,472,1539,7,small,0,5,4,6,13,0,4,15,0,1,72,0,16,1,0,3,3,10,1,2,156,60.23166023166023
streamlit/streamlit,Data Science / Traditional ML,113797,41585,8344,280,large,130,175,1007,1209,137,219,78,157,22,85,27,18,1,13,69,29,214,7,3,14,3614,31.758306457990987
tensorflow/addons,ML Frameworks / Libraries,28322,1707,1519,195,large,23,43,84,11,91,10,97,0,0,3,83,7,49,14,33,22,19,84,0,200,873,30.8240943436198
tensorflow/data-validation,ML Frameworks / Libraries,28157,773,995,26,large,3,0,70,53,57,0,32,4,0,44,13,20,15,1,55,11,0,13,0,2,393,13.957452853642078
tensorflow/examples,ML Frameworks / Libraries,31727,8185,2187,263,large,19,22,72,90,166,0,115,1,0,78,124,11,41,1,38,32,0,47,0,68,925,29.15497840955653
tensorflow/fairness-indicators,ML Frameworks / Libraries,1520,353,397,31,small,0,6,5,14,3,0,2,5,0,2,0,0,3,0,2,0,0,3,0,0,45,29.605263157894736
tensorflow/federated,ML Frameworks / Libraries,96954,2397,5691,110,large,12,51,402,127,108,0,131,730,0,73,26,4,152,0,126,13,0,30,0,190,2175,22.433318893495887
tensorflow/graphics,ML Frameworks / Libraries,33411,2781,770,35,large,6,8,1,42,155,0,123,0,0,41,26,2,26,0,13,27,0,24,0,294,788,23.585046840860795
tensorflow/io,ML Frameworks / Libraries,26222,731,1700,104,medium,41,28,18,19,68,41,35,0,0,28,8,3,18,19,43,4,43,0,0,62,478,18.228968042102053
tensorflow/model-analysis,ML Frameworks / Libraries,49874,1267,1570,55,large,18,37,76,129,173,0,85,22,0,22,6,0,93,2,90,8,0,29,0,91,881,17.664514576733367
tensorflow/models,ML Frameworks / Libraries,379080,77643,9655,790,large,465,1554,850,838,1783,19,1483,176,3,556,1497,279,485,98,353,610,11,306,8,2038,13412,35.3803946396539
tensorflow/privacy,ML Frameworks / Libraries,30114,1985,899,56,large,33,55,78,119,117,16,85,86,0,5,15,13,44,24,15,9,0,9,0,56,779,25.868366872550972
tensorflow/quantum,ML Frameworks / Libraries,15821,2017,934,35,medium,9,22,121,46,18,0,50,0,0,18,5,3,0,0,30,4,0,10,0,36,372,23.513052272296314
tensorflow/serving,ML Frameworks / Libraries,2292,6325,9171,210,small,7,47,18,8,5,0,5,0,0,3,6,0,1,1,0,0,0,0,0,9,110,47.99301919720768
tensorflow/text,ML Frameworks / Libraries,18446,1273,922,111,medium,55,8,18,25,67,0,14,0,0,13,13,40,57,0,25,2,0,39,0,33,409,22.172828797571288
tensorflow/tfjs,ML Frameworks / Libraries,12161,18968,6112,340,medium,1,29,29,9,16,1,12,0,1,4,0,6,9,4,10,0,10,0,0,0,141,11.594441246608008
tf-encrypted/tf-encrypted,ML Frameworks / Libraries,22814,1235,605,25,medium,14,307,7,160,27,9,43,0,0,29,52,0,38,15,38,11,8,14,0,94,866,37.95914789164548
TheAlgorithms/Python,Domain-Specific Applications,46108,209443,3597,1217,large,9,54,40,80,50,645,42,913,28,41,32,1,173,3,0,11,5,0,31,1,2159,46.824846013706946
thu-ml/tianshou,Reinforcement Learning,35503,8802,1175,77,large,92,3,35,29,53,20,135,422,43,75,16,4,25,35,103,27,12,13,16,0,1158,32.61696194687773
thunlp/OpenNRE,Natural Language Processing,3137,4429,177,8,small,4,0,0,3,18,4,18,0,0,1,2,4,8,26,0,7,11,4,0,0,110,35.065349059611094
Tiiiger/QPyTorch,ML Frameworks / Libraries,3868,285,246,9,small,12,0,0,2,21,12,7,0,0,41,0,12,7,25,2,11,6,6,0,0,164,42.39917269906929
timesler/facenet-pytorch,ML Frameworks / Libraries,1467,4993,252,17,small,1,13,0,1,6,3,5,0,0,2,0,0,2,2,0,5,0,0,0,0,40,27.266530334015
tslearn-team/tslearn,Domain-Specific Applications,10150,3037,1685,39,small,32,153,32,2,43,13,20,0,0,11,129,5,24,25,5,12,1,8,0,0,515,50.73891625615764
uber/causalml,Data Science / Traditional ML,11144,5589,653,68,medium,43,17,4,0,111,11,82,5,0,0,164,1,29,127,3,18,4,22,1,0,642,57.60947595118449
uber/ludwig,Natural Language Processing,95376,11590,3861,148,large,553,45,86,169,384,205,270,12,0,58,25,243,123,125,299,56,40,129,364,7,3193,33.478023821506454
UKPLab/sentence-transformers,Natural Language Processing,39022,17603,2375,226,large,74,21,56,20,162,157,123,19,10,10,13,3,29,29,7,33,18,56,275,2,1117,28.62487827379427
ultralytics/yolov3,Computer Vision,11096,10457,2899,48,medium,22,14,6,6,94,50,69,5,0,8,6,4,8,11,3,12,20,25,128,10,501,45.151405912040374
ultralytics/yolov5,Computer Vision,11454,55509,2916,335,medium,22,15,7,6,94,49,70,5,0,8,6,4,8,11,3,12,20,25,130,10,505,44.08940108259123
Unity-Technologies/ml-agents,Reinforcement Learning,27918,18685,3541,146,large,69,50,160,25,56,38,56,0,0,42,7,6,25,30,24,30,4,2,11,0,635,22.745182319650407
vaexio/vaex,Data Science / Traditional ML,63938,8432,3712,65,large,995,395,713,140,339,1232,178,3,12,151,707,32,356,446,315,87,346,24,15,34,6520,101.9737871062592
vanvalenlab/deepcell-tf,ML Frameworks / Libraries,14131,465,421,21,medium,38,0,76,32,70,8,80,0,0,36,52,0,7,6,48,21,3,15,8,12,512,36.232396857971835
VertaAI/modeldb,MLOps / Deployment,111928,1740,4114,49,large,362,510,1801,856,171,185,50,1,11,235,0,30,121,56,134,65,233,32,0,6,4859,43.411836180401686
vespa-engine/sample-apps,MLOps / Deployment,11979,380,5644,63,medium,23,7,0,12,12,55,19,1,0,5,0,0,14,31,2,2,39,0,36,0,258,21.537690959178562
vwxyzjn/cleanrl,Reinforcement Learning,12634,7945,841,42,medium,9,17,3,2,35,306,20,0,0,34,41,15,2,3,2,44,6,2,0,0,541,42.82095931613107
wandb/client,Reinforcement Learning,217482,10367,8446,200,large,1271,626,2065,407,376,1107,186,60,0,258,174,75,260,62,420,89,204,81,198,25,7944,36.527160868485666
wandb/examples,Data Science / Traditional ML,7128,1181,1003,68,small,14,60,2,8,7,96,17,0,0,4,0,0,8,48,2,6,11,0,8,13,304,42.64870931537598
wikipedia2vec/wikipedia2vec,Natural Language Processing,4481,956,333,5,small,0,60,12,1,18,0,16,3,0,4,0,0,15,1,0,2,0,0,5,11,148,33.028341887971436
x4nth055/pythoncode-tutorials,Natural Language Processing,41945,2913,641,14,large,42,54,5,36,19,401,27,5,19,85,23,0,37,61,1,35,35,2,30,5,922,21.981165812373344
XanaduAI/pennylane,ML Frameworks / Libraries,350353,2824,6011,200,large,111,185,6,10156,0,21,784,791,27,9,0,8,0,30,246,0,443,9,0,46,12872,36.74008785424986
XanaduAI/strawberryfields,ML Frameworks / Libraries,31745,817,1172,42,large,109,2,94,762,97,251,119,0,0,45,2,2,1,86,39,0,3,1,4,29,1646,51.85068514726729
Xilinx/brevitas,ML Frameworks / Libraries,58300,1388,1609,26,large,363,94,230,303,343,201,166,204,0,199,107,135,285,153,91,47,118,116,24,12,3191,54.734133790737566
YosefLab/scVI,Domain-Specific Applications,52441,1460,4329,74,large,119,69,288,46,358,129,244,198,0,35,85,44,104,24,36,66,15,192,30,0,2082,39.70176007322515
yzhao062/pyod,Data Science / Traditional ML,16576,9471,1895,53,medium,5,40,140,25,63,37,30,1,0,0,244,0,19,78,33,88,2,5,0,0,810,48.865830115830114
zalandoresearch/pytorch-ts,ML Frameworks / Libraries,9932,1333,438,11,small,16,15,4,6,80,6,49,0,0,9,2,58,16,23,5,27,2,14,1,4,337,33.93072895690697
zeusees/HyperLPR,ML Frameworks / Libraries,1356,5991,344,17,small,7,3,0,0,6,2,7,0,0,14,5,0,3,16,0,3,3,0,0,6,75,55.309734513274336
zhanghang1989/PyTorch-Encoding,Computer Vision,6905,2051,120,9,small,14,15,3,9,47,20,24,0,0,13,2,38,11,29,1,18,17,24,0,0,285,41.27443881245475
