GitHub Repo,domain,Lines of Code,Stars,Commits,Contributor Count,Project Size,unused-argument,no-member,protected-access,no-self-use,too-many-arguments,redefined-outer-name,too-many-locals,unsubscriptable-object,syntax-error,too-few-public-methods,attribute-defined-outside-init,abstract-method,no-else-return,unused-variable,fixme,too-many-instance-attributes,redefined-builtin,arguments-differ,logging-fstring-interpolation,no-value-for-parameter,Total_Python_Smells,Python_Smell_Density
google/automl,Computer Vision,22342,6403,733,39,medium,5,11,8,43,85,1,89,18,0,35,89,7,57,2,12,35,1,45,0,54,597,26.720973950407302
google/clusterfuzz,MLOps / Deployment,106396,5478,3690,99,large,36,1517,271,261,179,0,91,41,0,291,8,0,1,0,290,29,5,1,0,0,3021,28.393924583630962
google/fhir,Domain-Specific Applications,80,897,1461,38,small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
google/flax,ML Frameworks / Libraries,64703,6820,5358,258,large,118,97,112,271,141,175,170,879,7,740,132,196,150,129,75,39,38,54,12,20,3555,54.943356567701656
google/ml-metadata,MLOps / Deployment,3619,660,909,20,small,0,89,2,4,6,1,12,0,0,3,5,0,0,0,4,0,0,0,0,3,129,35.64520585797182
google/qkeras,ML Frameworks / Libraries,23397,571,451,27,medium,27,7,58,30,99,4,98,0,0,38,80,0,72,18,29,32,4,9,0,35,640,27.35393426507672
google/tf-quant-finance,ML Frameworks / Libraries,50669,4994,960,41,large,9,51,28,16,308,0,259,0,0,41,0,0,63,1,79,35,0,39,0,4,933,18.413625688290672
GoogleCloudPlatform/healthcare,Domain-Specific Applications,7788,386,847,27,small,10,142,12,25,8,27,20,4,3,38,4,0,6,47,1,1,1,3,20,0,372,47.76579352850539
GoogleCloudPlatform/ml-on-gcp,Data Science / Traditional ML,9308,506,376,27,small,8,363,0,17,69,19,27,0,1,13,34,0,28,6,16,7,0,4,0,27,639,68.65062311989686
GoogleCloudPlatform/professional-services,MLOps / Deployment,82363,2944,2324,288,large,186,636,151,198,242,290,210,25,7,194,176,1,95,75,33,59,30,12,377,68,3065,37.213311802629825
GoogleCloudPlatform/python-docs-samples,MLOps / Deployment,138315,7839,11996,629,large,652,608,174,146,278,3154,193,57,1,232,32,0,59,154,622,7,54,3,123,27,6576,47.54365036330116
GoogleCloudPlatform/training-data-analyst,MLOps / Deployment,108122,8292,7963,205,large,1068,1505,1138,642,765,468,416,11,49,601,266,92,824,519,1325,188,645,151,2,278,10953,101.30223266310279
google-research/google-research,ML Frameworks / Libraries,1307312,36441,4848,639,large,1193,3200,868,2501,5490,420,5174,434,29,2788,4520,338,2283,330,1410,1345,26,740,44,2610,35743,27.340833710697982
google-research/meta-dataset,ML Frameworks / Libraries,15178,790,319,22,medium,6,30,0,16,79,0,75,0,0,16,27,23,30,0,101,11,0,16,0,672,1102,72.60508630913164
google-research/tensor2robot,ML Frameworks / Libraries,16147,560,237,14,medium,123,18,16,91,129,0,52,0,0,33,34,0,27,0,23,12,0,3,0,0,561,34.74329596829132
google-research/text-to-text-transfer-transformer,ML Frameworks / Libraries,8552,6425,601,57,small,0,11,14,35,33,0,14,0,0,10,0,0,17,0,14,1,0,8,0,1,158,18.475210477081383
