GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
pytorch/ignite,Y,4700,1838,48124,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/ignite/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/ignite/blob/master/LICENSE,There are many files related to testing,2025-09-25,37,211,8761.4,Reinforcement Learning,2,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,"closember, deep-learning, hacktoberfest, machine-learning, metrics, neural-network, python, pytorch",large,2017-11-23T17:31:21Z
pytorch/serve,Y,4350,3891,31729,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/serve/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pytorch/serve/blob/master/LICENSE,There are many files related to testing,2025-03-17,525,179,8277.3,MLOps / Deployment,5,"Serve, optimize and scale PyTorch models in production","cpu, deep-learning, docker, gpu, kubernetes, machine-learning, metrics, mlops, optimization, pytorch, serving",large,2019-10-03T03:17:43Z
pytorch/vision,Y,17178,4118,76374,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/vision/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/vision/blob/master/LICENSE,There are many files related to testing,2025-09-27,177,620,26706.6,Computer Vision,3,"Datasets, Transforms and Models specific to Computer Vision","computer-vision, machine-learning",large,2016-11-09T23:11:43Z
PyTorchLightning/pytorch-lightning,Y,30179,10863,86858,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/PyTorchLightning/pytorch-lightning/graphs/contributors shows that there are multiple contributors,"The project seems to use Circle CI but drop it, not very sure what they use exactly",There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PyTorchLightning/pytorch-lightning/issues/2495 and https://github.com/PyTorchLightning/pytorch-lightning/issues/2456",https://github.com/PyTorchLightning/pytorch-lightning/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,55,967,44340.5,ML Frameworks / Libraries,2,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","ai, artificial-intelligence, data-science, deep-learning, machine-learning, python, pytorch",large,2019-03-31T00:45:57Z
quantumlib/Cirq,Y,4712,4475,169329,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/quantumlib/Cirq/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/quantumlib/Cirq/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-09-27,54,243,10517.3,Reinforcement Learning,1,"Python framework for creating, editing, and invoking Noisy Intermediate-Scale Quantum (NISQ) circuits.","algorithms, api, cirq, google, google-quantum, nisq, python, quantum, quantum-algorithms, quantum-circuit, quantum-circuit-simulator, quantum-computer-simulator, quantum-computing, quantum-development-kit, quantum-information, quantum-programming, quantum-programming-language, quantum-simulation, sdk, simulation",large,2017-12-14T23:41:49Z
ray-project/ray,Y,39131,27237,637199,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/ray-project/ray/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/ray-project/ray/blob/master/LICENSE,There are many files related to testing,2025-09-27,1031,890,50523.5,Reinforcement Learning,4,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"data-science, deep-learning, deployment, distributed, hyperparameter-optimization, hyperparameter-search, large-language-models, llm, llm-inference, llm-serving, machine-learning, optimization, parallel, python, pytorch, ray, reinforcement-learning, rllib, serving, tensorflow",large,2016-10-25T19:38:30Z
ROCmSoftwarePlatform/tensorflow-upstream,Y,696,188754,757020,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/graphs/contributors shows that there are multiple contributors,"No evidence of CI used, may missed out because there are alot of files",There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/issues/1000 and https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/issues/937",https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/blob/develop-upstream/LICENSE is provided.,There are many files related to testing.,2025-09-26,1766,553,73494.6,ML Frameworks / Libraries,2,TensorFlow ROCm port,,large,2018-04-09T21:24:50Z
rusty1s/pytorch_geometric,Y,22939,7889,124071,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/rusty1s/pytorch_geometric/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/rusty1s/pytorch_geometric/blob/master/LICENSE,There are many files related to testing,2025-09-23,165,514,26962.3,Domain-Specific Applications,6,Graph Neural Network Library for PyTorch,"deep-learning, geometric-deep-learning, graph-convolutional-networks, graph-neural-networks, pytorch",large,2017-10-06T16:03:03Z
rwightman/pytorch-image-models,Y,35368,2940,83829,The source code of this project has been organised into different modules in a way that shows the relationship between different files with some ad hoc scripts,Multiple contributors: https://github.com/rwightman/pytorch-image-models/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/rwightman/pytorch-image-models/blob/master/LICENSE,There are many files related to testing,2025-09-24,163,157,19739.2,Computer Vision,2,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more","augmix, convnext, distributed-training, efficientnet, image-classification, imagenet, maxvit, mixnet, mobile-deep-learning, mobilenet-v2, mobilenetv3, nfnets, normalization-free-training, optimizer, pretrained-models, pretrained-weights, pytorch, randaugment, resnet, vision-transformer-models",large,2019-02-02T05:51:12Z
rwth-i6/returnn,Y,370,12170,145490,The source code of the project consists of some ad-hoc scripts.,Multiple contributors: https://github.com/rwth-i6/returnn/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds sometimes",https://github.com/rwth-i6/returnn/blob/master/LICENSE,There are many files related to testing,2025-09-22,52,57,5509.0,ML Frameworks / Libraries,4,The RWTH extensible training framework for universal recurrent neural networks,"deep-learning, gpu, recurrent-neural-networks, tensorflow, theano",large,2016-06-14T14:37:14Z
