GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
aiqm/torchani,Y,516,990,53385,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but not stable,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-09,11,16,983.4,ML Frameworks / Libraries,2,"TorchANI 2.0 is an open-source library that supports training, development, and research of ANI-style neural network interatomic potentials. It was originally developed and is currently maintained by the Roitberg group. ","deep-learning, force-field, molecular-simulation, neural-network, pytorch, quantum-chemistry, quantum-mechanics",large,2018-04-02T15:43:04Z
allegroai/trains,Y,6293,2561,157601,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",https://github.com/allegroai/trains/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2025-09-26,4,99,6255.5,MLOps / Deployment,12,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution","ai, clearml, control, deep-learning, deeplearning, devops, experiment, experiment-manager, k8s, machine-learning, machinelearning, mlops, trains, trainsai, version, version-control",large,2019-06-10T08:18:32Z
apache/beam,Y,8304,45656,249436,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",https://github.com/apache/beam/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-27,230,842,42278.4,Natural Language Processing,1,Apache Beam is a unified programming model for Batch and Streaming data processing.,"batch, beam, big-data, golang, java, python, sql, streaming",large,2016-02-02T08:00:06Z
arviz-devs/arviz,Y,1729,1614,33576,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arviz-devs/arviz/graphs/contributors shows that there are multiple contributors,The project uses Azure Pipeline CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/arviz-devs/arviz/issues/1262 and https://github.com/arviz-devs/arviz/issues/1270",https://github.com/arviz-devs/arviz/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-17,6,173,6365.8,Data Science / Traditional ML,1,Exploratory analysis of Bayesian models with Python,"bayesian, closember, python",large,2015-07-29T11:51:10Z
avrae/avrae,Y,439,6107,35896,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/avrae/avrae/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"Most of the bugs raised by bot, resolved then closed by bot",https://github.com/avrae/avrae/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-26,30,42,3267.7,MLOps / Deployment,2,A Discord bot to streamline running D&D 5e.,"avrae, ddb, discord-bot, dnd5e, dungeons-and-dragons, hacktoberfest",large,2017-02-02T04:40:12Z
awslabs/amazon-sagemaker-examples,Y,10746,3175,70067,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/awslabs/amazon-sagemaker-examples/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,Open issues more than closed,https://github.com/awslabs/amazon-sagemaker-examples/blob/master/LICENSE.txt is provided.,There are many projects in this git and some of them have test files,2025-09-03,191,531,21180.9,Data Science / Traditional ML,3,"Example 📓 Jupyter notebooks that demonstrate how to build, train, and deploy machine learning models using 🧠 Amazon SageMaker. ","aws, data-science, deep-learning, examples, inference, jupyter-notebook, machine-learning, mlops, reinforcement-learning, sagemaker, training",large,2017-10-23T05:55:22Z
bulletphysics/bullet3,Y,13791,9404,100791,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bulletphysics/bullet3/graphs/contributors shows that there are multiple contributors,The project uses Travis and Appveyor CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bulletphysics/bullet3/issues/2834 and https://github.com/bulletphysics/bullet3/issues/2907",https://github.com/bulletphysics/bullet3/blob/master/LICENSE.txt is provided.,There are many files related to testing,2025-04-23,19,223,15027.6,Reinforcement Learning,4,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.","computer-animation, game-development, kinematics, pybullet, reinforcement-learning, robotics, simulation, simulator, virtual-reality",large,2011-04-12T18:45:08Z
calico/basenji,Y,452,2009,39869,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/calico/basenji/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/calico/basenji/issues/55 and https://github.com/calico/basenji/issues/57",https://github.com/calico/basenji/blob/master/LICENSE is provided.,There are many files related to testing,2025-05-16,21,7,993.5,Data Science / Traditional ML,2,Sequential regulatory activity predictions with deep convolutional neural networks.,,large,2017-07-05T17:54:18Z
CLUEbenchmark/CLUE,Y,4188,528,48963,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CLUEbenchmark/CLUE/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,The author of the project reply to only some of the issues,"There are multiple license files found in models folder such as bert, ernie and bert_wwm.ext",There are many files related to testing specifically 1-2 for each model,2025-09-08,34,20,2433.6000000000004,Natural Language Processing,5,"中文语言理解测评基准 Chinese Language Understanding Evaluation Benchmark: datasets, baselines, pre-trained models, corpus and leaderboard  ","albert, benchmark, bert, chinese, chineseglue, corpus, dataset, glue, language-model, nlu, pretrained-models, pytorch, roberta, tensorflow, transformers",large,2019-11-22T08:25:02Z
commaai/openpilot,Y,56169,15894,45846,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/commaai/openpilot/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/commaai/openpilot/issues/1829 and https://github.com/commaai/openpilot/issues/1835",https://github.com/commaai/openpilot/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-27,97,672,47395.8,Reinforcement Learning,2,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.","advanced-driver-assistance-systems, driver-assistance-systems, robotics",large,2016-11-24T01:33:30Z
creme-ml/creme,Y,5558,3982,31014,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/creme-ml/creme/graphs/contributors shows that there are multiple contributors.,The project uses TravisCI to test their build and codes,Most of the functions in the source code are not documented.,Checking https://github.com/creme-ml/creme/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/creme-ml/creme/issues/302",https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26,16,121,7047.8,Data Science / Traditional ML,3,🌊 Online machine learning in Python,"concept-drift, data-science, incremental-learning, machine-learning, online-learning, online-machine-learning, online-statistics, python, real-time-processing, stream-processing, streaming, streaming-data",large,2019-01-24T15:18:26Z
data-science-on-aws/workshop,N,3409,3376,95889,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/data-science-on-aws/workshop/graphs/contributors only has 3 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/data-science-on-aws/workshop/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,"There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.,2024-07-31,6,14,2796.4,Data Science / Traditional ML,8,"AI and Machine Learning with Kubeflow, Amazon EKS, and SageMaker",,large,2020-02-29T19:33:58Z
deepchem/deepchem,Y,6227,10635,105916,The source code of the project exists as ad-hoc scripts.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepchem/deepchem/tree/master/docs,Checking https://github.com/deepchem/deepchem/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepchem/deepchem/issues/1975",https://github.com/deepchem/deepchem/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-24,15,189,11351.3,Data Science / Traditional ML,3,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology","biology, deep-learning, drug-discovery, hacktoberfest, materials-science, quantum-chemistry",large,2015-09-24T23:20:28Z
deepfakes/faceswap,Y,54523,1840,46036,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepfakes/faceswap/tree/master/docs,Checking https://github.com/deepfakes/faceswap/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepfakes/faceswap/issues/985",https://github.com/deepfakes/faceswap/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-18,7,81,24791.2,Reinforcement Learning,2,Deepfakes Software For All,"deep-face-swap, deep-learning, deep-neural-networks, deepface, deepfakes, deeplearning, face-swap, faceswap, fakeapp, machine-learning, myfakeapp, neural-nets, neural-networks, openfaceswap",large,2017-12-19T09:44:13Z
deepmind/open_spiel,Y,4753,4740,64877,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/open_spiel/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained documentation at https://github.com/deepmind/open_spiel/tree/master/docs , https://github.com/deepmind/open_spiel/tree/master/swift and majority of the functions at https://github.com/deepmind/open_spiel/blob/master/open_spiel/scripts/install.sh",Checking https://github.com/deepmind/open_spiel/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/open_spiel/issues/292 and https://github.com/deepmind/open_spiel/issues/291",https://github.com/deepmind/open_spiel/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-24,133,187,8933.2,Reinforcement Learning,4,OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.,"cpp, games, multiagent, python, reinforcement-learning",large,2019-07-22T13:50:21Z
determined-ai/determined,Y,3190,8394,93990,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/determined-ai/determined/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://docs.determined.ai/latest/,Checking https://github.com/determined-ai/determined/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,https://github.com/determined-ai/determined/blob/master/LICENSE is provided,There are many files related to testing.,2025-03-20,299,99,6764.2,MLOps / Deployment,5,"Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.","data-science, deep-learning, distributed-training, hyperparameter-optimization, hyperparameter-search, hyperparameter-tuning, keras, kubernetes, machine-learning, ml-infrastructure, ml-platform, mlops, pytorch, tensorflow",large,2020-04-07T16:12:29Z
dmlc/dgl,Y,14080,4417,197271,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/dmlc/dgl/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/dmlc/dgl/blob/master/python/dgl/convert.py and https://github.com/dmlc/dgl/blob/master/python/dgl/view.py,Checking https://github.com/dmlc/dgl/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/dmlc/dgl/issues/1743 and https://github.com/dmlc/dgl/issues/1727",https://github.com/dmlc/dgl/blob/master/LICENSE is provided,There are many files related to testing.,2025-07-31,33,288,15597.1,ML Frameworks / Libraries,5,"Python package built to ease deep learning on graph, on top of existing DL frameworks.","deep-learning, graph-neural-networks",large,2018-04-20T14:49:09Z
facebookresearch/habitat-api,Y,2581,937,64676,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/habitat-api/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/habitat-api/tree/master/docs,Checking https://github.com/facebookresearch/habitat-api/pulse/monthly there has been 8 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/habitat-api/issues/422",https://github.com/facebookresearch/habitat-api/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-17,521,61,3143.5,Reinforcement Learning,3,A modular high-level library to train embodied AI agents across a variety of tasks and environments.,"ai, computer-vision, deep-learning, deep-reinforcement-learning, python, reinforcement-learning, research, robotics, sim2real, simulator",large,2019-02-04T23:12:51Z
facebookresearch/mmf,Y,5592,1108,43269,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/habitat-api/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/mmf/tree/master/docs,Checking https://github.com/facebookresearch/mmf/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/mmf/issues/364",https://github.com/facebookresearch/mmf/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-24,75,82,5029.200000000001,ML Frameworks / Libraries,2,A modular framework for vision & language multimodal research from Facebook AI Research (FAIR),"captioning, deep-learning, dialog, hateful-memes, multi-tasking, multimodal, pretrained-models, pytorch, textvqa, vqa",large,2018-06-27T04:52:40Z
facebookresearch/nevergrad,Y,4118,1145,32642,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/nevergrad/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/nevergrad/tree/master/docs,Checking https://github.com/facebookresearch/nevergrad/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/nevergrad/issues/746",https://github.com/facebookresearch/nevergrad/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-23,125,56,3670.7,Reinforcement Learning,2,A Python toolbox for performing gradient-free optimization,,large,2018-11-21T00:33:17Z
facebookresearch/ReAgent,Y,3665,1614,49789,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/ReAgent/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/ReAgent/tree/master/docs,Checking https://github.com/facebookresearch/ReAgent/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/ReAgent/issues/265",https://github.com/facebookresearch/ReAgent/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-02,5,83,4440.2,Reinforcement Learning,6,"A platform for Reasoning systems (Reinforcement Learning, Contextual Bandits, etc.)",,large,2017-07-27T17:53:21Z
feast-dev/feast,Y,6357,4164,98817,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/feast-dev/feast/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/feast-dev/feast/tree/master/docs,Checking https://github.com/feast-dev/feast/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/feast-dev/feast/issues/835",https://github.com/feast-dev/feast/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-27,271,298,12732.0,MLOps / Deployment,3,The Open Source Feature Store for AI/ML,"big-data, data-engineering, data-quality, data-science, feature-store, features, machine-learning, ml, mlops, python",large,2018-12-10T07:20:15Z
FederatedAI/FATE,Y,5973,13850,52191,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/FederatedAI/FATE/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/FederatedAI/FATE/issues/1236 and https://github.com/FederatedAI/FATE/issues/1198",https://github.com/FederatedAI/FATE/blob/master/LICENSE is provided.,There are many files related to testing.,2024-11-19,293,85,9094.2,MLOps / Deployment,3,An Industrial Grade Federated Learning Framework,"algorithm, fate, federated-learning, machine-learning, privacy-preserving",large,2019-01-24T10:32:43Z
flairNLP/flair,Y,14297,6684,35868,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/flairNLP/flair/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/flairNLP/flair/tree/master/resources/docs,Checking https://github.com/flairNLP/flair/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/flairNLP/flair/issues/1744",https://github.com/flairNLP/flair/blob/master/LICENSE is provided,There are many files related to testing.,2025-06-12,125,211,14054.0,Natural Language Processing,7,A very simple framework for state-of-the-art Natural Language Processing (NLP),"machine-learning, named-entity-recognition, natural-language-processing, nlp, pytorch, semantic-role-labeling, sequence-labeling, word-embeddings",large,2018-06-11T11:04:18Z
freewym/espresso,Y,942,2439,141225,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/freewym/espresso/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/freewym/espresso/tree/master/docs,Checking https://github.com/freewym/espresso/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/freewym/espresso/issues/28",https://github.com/freewym/espresso/blob/master/LICENSE is provided,There are many files related to testing.,2024-09-04,3,280,9508.5,Domain-Specific Applications,6,Espresso: A Fast End-to-End Neural Speech Recognition Toolkit,"asr, end-to-end, fairseq, kaldi, python, pytorch, speech-recognition",large,2018-12-02T02:48:48Z
galaxyproject/galaxy,Y,1612,85630,351424,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/galaxyproject/galaxy/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/galaxyproject/galaxy/tree/dev/doc,Checking https://github.com/galaxyproject/galaxy/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/galaxyproject/galaxy/issues/9968",https://github.com/galaxyproject/galaxy/blob/dev/LICENSE.txt is provided,There are many files related to testing.,2025-09-27,56,123,30023.8,Domain-Specific Applications,2,Data intensive science for everyone.,"bioinformatics, dna, genomics, hacktoberfest, ngs, pipeline, science, sequencing, usegalaxy, workflow, workflow-engine",large,2015-02-23T14:18:06Z
geomstats/geomstats,Y,1405,10874,52651,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/geomstats/geomstats/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/geomstats/geomstats/tree/master/docs,Checking https://github.com/geomstats/geomstats/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/geomstats/geomstats/issues/827",https://github.com/geomstats/geomstats/blob/master/LICENSE.md is provided,There are many files related to testing.,2025-09-26,30,76,6104.2,Data Science / Traditional ML,3,Computations and statistics on manifolds with geometric structures.,"deep-learning, geodesic, geometry, gpu-programming, lie-groups, machine-learning, manifold, neural-networks, riemannian-geometry, statistics",large,2017-10-25T00:44:57Z
google/clusterfuzz,Y,5478,3690,106396,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/clusterfuzz/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/clusterfuzz/tree/master/docs",Checking https://github.com/google/clusterfuzz/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/clusterfuzz/issues/1850",https://github.com/google/clusterfuzz/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26,196,99,6268.200000000001,Data Science / Traditional ML,3,Scalable fuzzing infrastructure.,"fuzzing, security, stability, vulnerabilities",large,2019-01-29T00:19:40Z
google/flax,Y,6820,5358,64703,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/flax/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/flax/tree/master/docs",Checking https://github.com/google/flax/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/flax/issues/322",https://github.com/google/flax/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26,267,258,12075.4,ML Frameworks / Libraries,4,Flax is a neural network library for JAX that is designed for flexibility.,jax,large,2020-01-10T09:48:37Z
google/tf-quant-finance,Y,4994,960,50669,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/tf-quant-finance/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/google/tf-quant-finance/tree/master/tf_quant_finance and https://github.com/google/tf-quant-finance/tree/master/api_docs",Checking https://github.com/google/tf-quant-finance/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/tf-quant-finance/issues/27",https://github.com/google/tf-quant-finance/blob/master/LICENSE is provided,There are few files related to testing.,2025-03-21,2,41,3515.6000000000004,ML Frameworks / Libraries,3,High-performance TensorFlow library for quantitative finance.,"finance, gpu, gpu-computing, high-performance, high-performance-computing, numerical-integration, numerical-methods, numerical-optimization, python, quantitative-finance, quantlib, tensorflow",large,2019-07-24T16:09:50Z
GoogleCloudPlatform/professional-services,Y,2944,2324,82363,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/professional-services/graphs/contributors shows that there are multiple contributors,The project uses Cloudbuild CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/professional-services/issues/482 and https://github.com/GoogleCloudPlatform/professional-services/issues/333",https://github.com/GoogleCloudPlatform/professional-services/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2025-09-24,6,288,10514.8,Natural Language Processing,2,Common solutions and tools developed by Google Cloud's Professional Services team. This repository and its contents are not an officially supported Google product.,"bigquery, examples, gke, google-cloud-compute, google-cloud-dataflow, google-cloud-ml, google-cloud-platform, solutions, tools",large,2017-05-18T19:29:27Z
GoogleCloudPlatform/python-docs-samples,Y,7839,11996,138315,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/python-docs-samples/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/python-docs-samples/issues/4206 and https://github.com/GoogleCloudPlatform/python-docs-samples/issues/4162",https://github.com/GoogleCloudPlatform/python-docs-samples/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2025-09-26,177,629,25604.4,Data Science / Traditional ML,2,Code samples used on cloud.google.com,"python, samples",large,2015-05-04T23:26:13Z
GoogleCloudPlatform/training-data-analyst,Y,8292,7963,108122,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/training-data-analyst/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Functions mentioned but not well documented,Evidence of sustained commit activity,"Users ask, answer and resolve their own issues",https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/LICENSE is provided.,Can't find test files,2025-09-16,352,205,11855.7,Data Science / Traditional ML,2,Labs and demos for courses for GCP Training (http://cloud.google.com/training).,,large,2016-04-17T21:39:27Z
google-research/google-research,Y,36441,4848,1307312,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google-research/google-research/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There are multiple well maintained README,Checking https://github.com/google-research/google-research/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/google-research/issues/313",https://github.com/google-research/google-research/blob/master/LICENSE is provided,There are few files related to testing.,2025-09-17,418,639,35200.8,Data Science / Traditional ML,2,Google Research,"ai, machine-learning, research",large,2018-10-04T18:42:48Z
guildai/guildai,Y,889,5779,51790,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/guildai/guildai/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/guildai/guildai/tree/master/guild",Checking https://github.com/guildai/guildai/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/guildai/guildai/issues/205",https://github.com/guildai/guildai/blob/master/LICENSE.txt is provided,There are few files related to testing.,2025-04-29,70,23,2779.3,MLOps / Deployment,1,"Experiment tracking, ML developer tools",,large,2017-09-27T18:57:50Z
heartexlabs/label-studio,Y,24894,5537,52356,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/heartexlabs/label-studio/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/heartexlabs/label-studio/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/heartexlabs/label-studio/issues/335",https://github.com/heartexlabs/label-studio/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-09-26,1218,138,15758.7,Computer Vision,5,Label Studio is a multi-type data labeling and annotation tool with standardized output format,"annotation, annotation-tool, annotations, boundingbox, computer-vision, data-labeling, dataset, datasets, deep-learning, image-annotation, image-classification, image-labeling, image-labelling-tool, label-studio, labeling, labeling-tool, mlops, semantic-segmentation, text-annotation, yolo",large,2019-06-19T02:00:44Z
home-assistant/core,Y,81605,99340,2109291,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/home-assistant/core/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/home-assistant/core/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/home-assistant/core/issues/37681",https://github.com/home-assistant/core/blob/dev/LICENSE.md is provided,There are many files related to testing.,2025-09-28,238,1026,93224.0,Reinforcement Learning,2,:house_with_garden: Open source home automation that puts local control and privacy first.,"asyncio, hacktoberfest, home-automation, internet-of-things, iot, mqtt, python, raspberry-pi",large,2013-09-17T07:29:48Z
