GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
amaiya/ktrain,Y,1261,3066,15566,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,There are many files related to testing,2024-07-09,5,16,1904.2,Natural Language Processing,7,ktrain is a Python library that makes deep learning and AI more accessible and easier to apply,"computer-vision, deep-learning, graph-neural-networks, keras, machine-learning, nlp, python, tabular-data, tensorflow",medium,2019-02-06T17:01:39Z
analyticalmindsltd/smote_variants,Y,673,498,21361,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,The project uses Travis and Circle CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,Only 1 test file,2024-01-01,5,5,568.6,Data Science / Traditional ML,2,A collection of 85 minority oversampling techniques (SMOTE) for imbalanced learning with multi-class oversampling and model selection features,"imbalanced-data, imbalanced-learning, oversampling, smote",medium,2018-10-05T20:21:54Z
apache/submarine,Y,706,1051,13139,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/submarine/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"5 open, 5 closed",https://github.com/apache/submarine/blob/master/LICENSE-binary and https://github.com/apache/submarine/blob/master/LICENSE-binary are provided.,There are many files related to testing,2024-04-03,23,63,2487.7,MLOps / Deployment,5,Submarine is Cloud Native Machine Learning Platform.,"ai, deep-learning, docker, kubernetes, machine-learning, notebook",medium,2019-09-19T04:00:17Z
autorope/donkeycar,Y,3314,2204,22292,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/autorope/donkeycar/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/autorope/donkeycar/issues/600 and https://github.com/autorope/donkeycar/issues/566",https://github.com/autorope/donkeycar/blob/dev/LICENSE is provided.,There are many files related to testing,2025-08-04,46,112,5346.8,ML Frameworks / Libraries,3,Open source hardware and software platform to build a small scale self driving car.,"cv2, donkeycar, jetson-nano, keras, python, raspberry-pi, self-driving-car, tensorflow, vision",medium,2016-12-10T06:35:09Z
BindsNET/bindsnet,Y,1625,2124,14028,The source code of the project exists as ad-hoc scripts.,https://github.com/BindsNET/bindsnet/graphs/contributors shows that there are multiple contributors.,The project uses Travis CI,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity with 17 commits last month,"The project maintainers respond to issues, as evidenced by https://github.com/BindsNET/bindsnet/issues/345 and https://github.com/BindsNET/bindsnet/issues/317.",https://github.com/BindsNET/bindsnet/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,24,46,2667.2,Reinforcement Learning,4,Simulation of spiking neural networks (SNNs) using PyTorch.,"dynamic, gpu-computing, machine-learning, neurons, pytorch, reinforcement-learning, simulation, snn, spiking-neural-networks, stdp, synapse",medium,2018-02-09T19:42:37Z
BloodAxe/pytorch-toolbelt,Y,1556,1245,12133,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/BloodAxe/pytorch-toolbelt/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,Most of the functions in the source code are not documented.,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/BloodAxe/pytorch-toolbelt/issues/4 and https://github.com/BloodAxe/pytorch-toolbelt/issues/7.",https://github.com/BloodAxe/pytorch-toolbelt/blob/develop/LICENSE is provided.,There are many files related to testing.,2025-09-12,5,7,1205.9,Computer Vision,5,PyTorch extensions for fast R&D prototyping and Kaggle farming,"augmentation, deep-learning, focal-loss, image-classification, image-processing, image-segmentation, jaccard-loss, kaggle, machine-learning, object-detection, pipeline, python, pytorch, segmentation, test-time-augmentation, tta",medium,2019-03-15T16:02:49Z
brainiak/brainiak,Y,358,406,17865,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/brainiak/brainiak/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/brainiak/brainiak/issues/448 and https://github.com/brainiak/brainiak/issues/456",https://github.com/brainiak/brainiak/blob/master/LICENSE is provided.,There are many files related to testing,2025-01-06,4,32,1225.0,Reinforcement Learning,2,Brain Imaging Analysis Kit,"distributed, fmri, machine-learning, neuroimaging, neuroscience",medium,2016-02-08T23:19:27Z
Calamari-OCR/calamari,Y,1166,479,11088,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Calamari-OCR/calamari/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Gitlab CI,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Project-MONAI/MONAI/issues/614 and https://github.com/Project-MONAI/MONAI/issues/598.",https://github.com/Cadene/bootstrap.pytorch/blob/master/LICENSE.txt is provided.,There are many files related to testing.,2025-05-12,12,19,1180.1,Natural Language Processing,1,Line based ATR Engine based on OCRopy,,medium,2018-03-20T15:22:29Z
cornellius-gp/gpytorch,Y,3777,3975,24163,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cornellius-gp/gpytorch/graphs/contributors shows that there are multiple contributors.,The project uses TravisCI to test their build and codes,There is a well maintained README,Checking https://github.com/cornellius-gp/gpytorch/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/cornellius-gp/gpytorch/issues/1188 and https://github.com/cornellius-gp/gpytorch/issues/1184",https://github.com/cornellius-gp/gpytorch/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-03,108,115,6153.3,ML Frameworks / Libraries,3,A highly efficient implementation of Gaussian Processes in PyTorch,"gaussian-processes, gpu-acceleration, pytorch",medium,2017-06-09T14:48:20Z
CornellNLP/Cornell-Conversational-Analysis-Toolkit,Y,603,1497,16129,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/39 and https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/33.",https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/blob/master/LICENSE.md is provided.,"There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks",2025-09-22,66,26,1470.3,Data Science / Traditional ML,3,ConvoKit is a toolkit for extracting conversational features and analyzing social phenomena in conversations. It includes several large conversational datasets along with scripts exemplifying the use of the toolkit on these datasets.,"computational-social-science, conversational-ai, conversational-analysis, conversations, dataset, dialogs, machine-learning, nlp, toolkit",medium,2016-03-14T19:04:22Z
cornell-zhang/heterocl,Y,341,1123,20269,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cornell-zhang/heterocl/graphs/contributors shows that there are multiple contributors.,The project uses CircleCI to test their build and codes,There is a well maintained README,The project only has 11 commits in the past month.,The project maintainer only replied to selected few issues,https://github.com/cornell-zhang/heterocl/blob/master/LICENSE is provided.,There are many files related to testing.,2024-04-20,15,17,983.3,Natural Language Processing,1,HeteroCL: A Multi-Paradigm Programming Infrastructure for Software-Defined Heterogeneous Computing (FPGA'19 Best Paper),"accelerators, compiler, dsl, fpga, fpga-programming, high-level-synthesis, python",medium,2017-12-20T16:13:52Z
cpnota/autonomous-learning-library,Y,652,300,10618,The source code of the project exists as ad-hoc scripts.,https://github.com/cpnota/autonomous-learning-library/graphs/contributors shows that there are a handful (4) of contributors. ,The project hardly uses TravisCI to test their build and codes,Most of the functions in the source code are not documented.,Checking https://github.com/cpnota/autonomous-learning-library/pulse/monthly there has been significant commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2024-03-17,2,9,620.8,Reinforcement Learning,9,A PyTorch library for building deep reinforcement learning agents.,"a2c, advantage-actor-critic, ddpg, deep-deterministic-policy-gradient, deep-q-learning, deep-reinforcement-learning, dqn, dqn-pytorch, ppo, proximal-policy-optimization, reinforcement-learning, reinforcement-learning-algorithms, sac, soft-actor-critic",medium,2018-11-07T21:39:56Z
danielegrattarola/spektral,Y,2384,1134,10445,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/danielegrattarola/spektral/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README at https://github.com/danielegrattarola/spektral/blob/master/spektral/datasets/citation.py,Checking https://github.com/danielegrattarola/spektral/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/danielegrattarola/spektral/issues/69, https://github.com/danielegrattarola/spektral/issues/68",https://github.com/danielegrattarola/spektral/blob/master/LICENSE is provided,There are many files related to testing.,2024-01-21,4,24,2013.8,ML Frameworks / Libraries,4,Graph Neural Networks with Keras and Tensorflow 2.,"deep-learning, graph-deep-learning, graph-neural-networks, keras, python, tensorflow, tensorflow2",medium,2019-01-17T11:19:10Z
datamllab/rlcard,Y,3249,875,12848,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/datamllab/rlcard/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README at https://github.com/datamllab/rlcard/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/datamllab/rlcard/issues/154 and https://github.com/datamllab/rlcard/issues/153",https://github.com/datamllab/rlcard/blob/master/LICENSE.md is provided,There are many files related to testing.,2024-06-26,2,35,2612.1000000000004,Reinforcement Learning,6,"Reinforcement Learning / AI Bots in Card (Poker) Games - Blackjack, Leduc, Texas, DouDizhu, Mahjong, UNO.","ai, blackjack, card-game, card-games, deep-reinforcement-learning, doudizhu, game, game-ai, game-bot, gym-environment, mahjong, multi-agent, openai-gym, poker, poker-game, reinforcement-learning, texas, uno",medium,2019-09-05T12:48:01Z
deepmind/dm-haiku,Y,3100,1024,20792,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/dm-haiku/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepmind/dm-haiku/tree/master/docs and README at https://github.com/deepmind/dm-haiku/blob/master/haiku/experimental.py and https://github.com/deepmind/dm-haiku/blob/master/haiku/initializers.py,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/dm-haiku/issues/55",https://github.com/deepmind/dm-haiku/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-18,20,82,4007.2,ML Frameworks / Libraries,4,JAX-based neural network library,"deep-learning, deep-neural-networks, jax, machine-learning, neural-networks",medium,2020-02-18T07:14:02Z
deepmind/sonnet,Y,9884,873,13196,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/sonnet/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/deepmind/sonnet/tree/v2/docs,Checking https://github.com/deepmind/sonnet/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/sonnet/issues/172",https://github.com/deepmind/sonnet/blob/v2/LICENSE is provided,There are a few files related to testing.,2025-08-04,5,56,5895.5,ML Frameworks / Libraries,4,TensorFlow-based neural network library,"artificial-intelligence, deep-learning, machine-learning, neural-networks, tensorflow",medium,2017-04-03T11:34:35Z
deepmipt/DeepPavlov,Y,6934,2711,16907,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmipt/DeepPavlov/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deepmipt/DeepPavlov/blob/master/deeppavlov/evolve.py,Checking https://github.com/deepmipt/DeepPavlov/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmipt/DeepPavlov/issues/1265",https://github.com/deepmipt/DeepPavlov/blob/master/LICENSE is provided,There are many files related to testing.,2024-11-26,51,70,5686.900000000001,Natural Language Processing,6,An open source library for deep learning end-to-end dialog systems and chatbots.,"ai, artificial-intelligence, bot, chatbot, chitchat, deep-learning, deep-neural-networks, dialogue-agents, dialogue-manager, dialogue-systems, entity-extraction, intent-classification, intent-detection, machine-learning, named-entity-recognition, nlp, nlp-machine-learning, question-answering, slot-filling, tensorflow",medium,2017-11-17T14:35:29Z
DigitalSlideArchive/HistomicsTK,Y,446,3031,11307,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DigitalSlideArchive/HistomicsTK/graphs/contributors shows that there are multiple contributors,The project uses various CI services,There is a well-maintained documentation,No evidence of sustained commit activity for May and June with 2 commits each,"The project maintainers respond to issues, as evidenced by https://github.com/DigitalSlideArchive/HistomicsTK/issues/869 and https://github.com/DigitalSlideArchive/HistomicsTK/issues/867.",https://github.com/DigitalSlideArchive/HistomicsTK/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-08,7,30,1987.7,Domain-Specific Applications,5,A Python toolkit for pathology image analysis algorithms.,"bioimage-informatics, computer-vision, digital-slide-archive, histology, machine-learning, medical-image-processing, python",medium,2015-10-15T14:49:21Z
DLR-RM/stable-baselines3,Y,11626,907,14536,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DLR-RM/stable-baselines3/graphs/contributors shows that there are multiple contributors,The project uses Gitlab CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DLR-RM/stable-baselines3/issues/37 and https://github.com/DLR-RM/stable-baselines3/issues/76.",https://github.com/DLR-RM/stable-baselines3/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,19,155,9572.5,Reinforcement Learning,5,"PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms. ","baselines, gsde, gym, machine-learning, openai, python, pytorch, reinforcement-learning, reinforcement-learning-algorithms, robotics, sb3, sde, stable-baselines, toolbox",medium,2020-05-05T05:52:26Z
DSE-MSU/DeepRobust,Y,1059,858,14598,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DSE-MSU/DeepRobust/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DSE-MSU/DeepRobust/issues/15 and https://github.com/DSE-MSU/DeepRobust/issues/13.",https://github.com/DSE-MSU/DeepRobust/blob/master/LICENSE is provided.,There are many files related to testing.,2025-06-26,8,17,1191.0,Domain-Specific Applications,3,A pytorch adversarial library for attack and defense methods on images and graphs,"adversarial-attacks, adversarial-examples, deep-learning, deep-neural-networks, defense, graph-convolutional-networks, graph-mining, graph-neural-networks, machine-learning",medium,2019-09-21T16:09:07Z
evilsocket/pwnagotchi,Y,8621,1744,12470,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/evilsocket/pwnagotchi/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README,Checking https://github.com/evilsocket/pwnagotchi/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/evilsocket/pwnagotchi/issues/892 and https://github.com/evilsocket/pwnagotchi/issues/859",https://github.com/evilsocket/pwnagotchi/blob/master/LICENSE.md is provided,There is no evidence of any testing done on the project.,2025-08-23,5,139,8141.6,Reinforcement Learning,6,(⌐■_■) - Deep Reinforcement Learning instrumenting bettercap for WiFi pwning.,"ai, bettercap, deep-learning, deep-neural-network, deep-reinforcement-learning, handshakes, wpa-psk",medium,2019-09-19T13:07:15Z
facebookresearch/CrypTen,Y,1618,359,21718,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/CrypTen/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/CrypTen/tree/master/docs,Checking https://github.com/facebookresearch/CrypTen/pulse/monthly there has been significant commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/facebookresearch/CrypTen/blob/master/LICENSE is provided,There are many files related to testing.,2024-11-23,16,27,1564.9,ML Frameworks / Libraries,3,A framework for Privacy Preserving Machine Learning,,medium,2019-08-15T00:00:31Z
fastai/fastai,Y,27456,2882,14973,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fastai/fastai/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/fastai/fastai/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/fastai/fastai/issues/2572",https://github.com/fastai/fastai/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-05,3,241,19077.0,Data Science / Traditional ML,3,The fastai deep learning library,"colab, deep-learning, fastai, gpu, machine-learning, notebooks, python, pytorch",medium,2017-09-09T17:43:36Z
f-dangel/backpack,Y,592,1818,16500,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/f-dangel/backpack/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/f-dangel/backpack/tree/master/docs,Checking https://github.com/f-dangel/backpack/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/f-dangel/backpack/issues/68",https://github.com/f-dangel/backpack/blob/master/LICENSE.txt is provided,There are many files related to testing.,2024-11-21,10,7,992.2,Natural Language Processing,1,BackPACK - a backpropagation package built on top of PyTorch which efficiently computes quantities other than the gradient.,,medium,2019-07-11T14:03:56Z
fepegar/torchio,Y,2273,1800,14026,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fepegar/torchio/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/fepegar/torchio/tree/master/docs,Checking https://github.com/fepegar/torchio/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/fepegar/torchio/issues/215",https://github.com/fepegar/torchio/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-22,26,60,3249.2,Domain-Specific Applications,3,Medical imaging processing for AI applications.,"augmentation, data-augmentation, deep-learning, machine-learning, medical-image-analysis, medical-image-computing, medical-image-processing, medical-images, medical-imaging-datasets, medical-imaging-with-deep-learning, python, pytorch",medium,2019-11-26T09:10:09Z
flatironinstitute/CaImAn,Y,688,4856,24964,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/flatironinstitute/CaImAn/graphs/contributorsshows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/flatironinstitute/CaImAn/tree/master/docs,Checking https://github.com/flatironinstitute/CaImAn/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/flatironinstitute/CaImAn/issues/780",https://github.com/flatironinstitute/CaImAn/blob/master/LICENSE.txt is provided,There are many files related to testing.,2025-07-17,10,60,3532.0,Data Science / Traditional ML,2,"Computational toolbox for large scale Calcium Imaging Analysis, including movie handling, motion correction, source extraction, spike deconvolution and result visualization.","2-photon, calcium-imaging, cnmf, deconvolution, motion-correction, source-extraction",medium,2015-08-06T13:58:45Z
google/automl,Y,6403,733,22342,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/automl/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/automl/tree/master/efficientdet/g3doc",Checking https://github.com/google/automl/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/automl/issues/572",https://github.com/google/automl/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-03-02,5,39,3951.1,Data Science / Traditional ML,3,Google Brain AutoML,"automl, efficientdet, efficientnet, efficientnetv2, object-detection",medium,2020-03-12T03:52:47Z
google/qkeras,Y,571,451,23397,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/qkeras/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/google/qkeras/tree/master/qkeras/autoqkeras and https://github.com/google/qkeras/tree/master/qkeras",Checking https://github.com/google/qkeras/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/qkeras/issues/20",https://github.com/google/qkeras/blob/master/LICENSE is provided,There are many files related to testing.,2025-06-13,4,27,1173.7,ML Frameworks / Libraries,3,QKeras: a quantization deep learning library for Tensorflow Keras,"accelerator, asic-design, deep-learning, fpga, fpga-accelerator, hardware-acceleration, keras, machine-learning, quantization, quantized-networks, quantized-neural-networks, tensorflow",medium,2019-08-06T22:11:58Z
google-research/meta-dataset,Y,790,319,15178,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google-research/meta-dataset/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There are is a well maintained README and documentation at https://github.com/google-research/meta-dataset/tree/master/doc,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/google-research/issues/313",https://github.com/google-research/meta-dataset/blob/master/LICENSE is provided,There are few files related to testing.,2024-05-24,2,22,1071.7,Data Science / Traditional ML,3,A dataset of datasets for learning to learn from few examples,"benchmark, few-shot-learning, machine-learning, maml, meta-learning, tensorflow",medium,2019-03-05T18:39:08Z
google-research/tensor2robot,Y,560,237,16147,The source code of the project exists as ad-hoc scripts.,https://github.com/google-research/tensor2robot/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and the majority of the functions in https://github.com/google-research/tensor2robot/tree/master/models ",Checking https://github.com/google-research/tensor2robot/pulse/monthly there has been 8 commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/google-research/tensor2robot/blob/master/LICENSE is provided,There are few files related to testing.,2024-08-19,2,14,715.1,Reinforcement Learning,3,Distributed machine learning infrastructure for large-scale robotics research,,medium,2019-05-13T16:28:37Z
GRAAL-Research/poutyne,Y,576,774,12874,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GRAAL-Research/poutyne/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/GRAAL-Research/poutyne/issues/72 and https://github.com/GRAAL-Research/poutyne/issues/40",https://github.com/GRAAL-Research/poutyne/blob/master/LICENSE is provided.,There are many files related to testing.,2025-05-05,8,20,1062.6,ML Frameworks / Libraries,3,A simplified framework and utilities for PyTorch,"data-science, deep-learning, keras, machine-learning, neural-network, python, pytorch",medium,2017-12-07T18:30:17Z
IBM/AIF360,Y,2657,438,13835,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/AIF360/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity but quite stable,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/IBM/AIF360/issues/185 and https://github.com/IBM/AIF360/issues/45",https://github.com/IBM/AIF360/blob/master/LICENSE is provided.,There are many files related to testing.,2024-12-10,19,63,3084.2,Domain-Specific Applications,5,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.","ai, artificial-intelligence, bias, bias-correction, bias-detection, bias-finder, bias-reduction, codait, deep-learning, discrimination, fairness, fairness-ai, fairness-awareness-model, fairness-testing, ibm-research, ibm-research-ai, machine-learning, python, r, trusted-ai",medium,2018-08-22T20:47:15Z
IBM/AIX360,Y,1735,633,17132,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/AIX360/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues but not often, as evidenced by https://github.com/IBM/AIX360/issues/46 and https://github.com/IBM/AIX360/issues/76",https://github.com/IBM/AIX360/blob/master/LICENSE is provided.,There are many files related to testing.,2025-02-26,10,26,1663.9,Domain-Specific Applications,6,Interpretability and explainability of data and machine learning models,"artificial-intelligence, codait, deep-learning, explainabil, explainable-ai, explainable-ml, ibm-research, ibm-research-ai, machine-learning, trusted-ai, trusted-ml, xai",medium,2019-07-11T07:17:48Z
interpretml/interpret-community,Y,435,486,10499,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/interpret-community/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/interpretml/interpret-community/issues?q=is%3Aopen+is%3Aissue,https://github.com/interpretml/interpret-community/blob/master/LICENSE,There are many files related to testing.,2025-02-07,34,22,979.8,Data Science / Traditional ML,5,Interpret Community extends Interpret repository with additional interpretability techniques and utility functions to handle real-world datasets and workflows.,"deep-learning, explainer, explanationdashboard, interpretable-models, machine-learning, mimic-explainer, python, pytorch, tabular-explainer",medium,2019-09-25T15:43:56Z
jantic/DeOldify,N,18416,524,12886,The source code of the project exists as ad-hoc scripts.,Multiple contributors: https://github.com/jantic/DeOldify/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jantic/DeOldify/blob/master/LICENSE,There is no evidence of any testing done on the project.,2024-10-19,4,37,8633.6,Natural Language Processing,1,A Deep Learning based project for colorizing and restoring old images (and video!),,medium,2018-10-31T23:32:34Z
keras-team/keras-tuner,Y,2903,1087,10943,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/keras-team/keras-tuner/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",https://github.com/keras-team/keras-tuner/graphs/contributors,Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/keras-team/keras-tuner/blob/master/LICENSE,There are many files related to testing.,2024-06-24,4,57,3197.3,ML Frameworks / Libraries,4,A Hyperparameter Tuning Library for Keras,"automl, deep-learning, hyperparameter-optimization, keras, machine-learning, tensorflow",medium,2019-06-06T22:38:21Z
