GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
openvinotoolkit/model_server,Y,769,3155,13305,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/openvinotoolkit/model_server/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/openvinotoolkit/model_server/graphs/commit-activity shows that there have been some activties in the past few months with many activities in the past month.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/openvinotoolkit/model_server/issues/272 and https://github.com/openvinotoolkit/model_server/issues/234",https://github.com/openvinotoolkit/model_server/blob/master/LICENSE,There are many files related to testing,2025-09-25,551,47,2664.1,MLOps / Deployment,5,A scalable inference server for models optimized with OpenVINO™,"ai, cloud, dag, deep-learning, edge, genai, inference, kubernetes, machine-learning, model-serving, openvino, serving",medium,2018-09-26T16:40:53Z
PacktPublishing/Deep-Reinforcement-Learning-Hands-On,N,3027,1200,11006,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/issues/79 and https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/issues/62",https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/blob/master/LICENSE is provided.,There are test files for some of the projects,2025-05-09,4,12,1930.8,Data Science / Traditional ML,5," Hands-on Deep Reinforcement Learning, published by Packt",,medium,2018-03-16T03:57:42Z
pyannote/pyannote-audio,Y,8363,2402,10618,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pyannote/pyannote-audio/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pyannote/pyannote-audio/blob/develop/LICENSE,There are many files related to testing,2025-09-09,87,66,6045.8,ML Frameworks / Libraries,4,"Neural building blocks for speaker diarization: speech activity detection, speaker change detection, overlapped speech detection, speaker embedding ","overlapped-speech-detection, pretrained-models, pytorch, speaker-change-detection, speaker-diarization, speaker-embedding, speaker-recognition, speaker-verification, speech-activity-detection, speech-processing, voice-activity-detection",medium,2016-03-07T17:26:15Z
pytorch/text,Y,3560,1313,14307,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pytorch/text/blob/master/LICENSE,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/text/blob/master/LICENSE,There are many files related to testing,2025-09-10,94,143,6107.9,Reinforcement Learning,2,"Models, data loaders and abstractions for language processing, powered by PyTorch","data-loader, dataset, deep-learning, models, nlp, pytorch",medium,2016-12-12T00:56:03Z
pytorch/tutorials,N,8811,2771,14427,Its a collection of projects/tutorials,Multiple contributors: https://github.com/pytorch/tutorials/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/tutorials/blob/master/LICENSE,There is no evidence of any testing done on the project.,2025-09-26,261,675,24605.7,Data Science / Traditional ML,2,PyTorch tutorials.,,medium,2016-09-30T23:48:36Z
QData/TextAttack,Y,3277,2772,25560,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/QData/TextAttack/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/QData/TextAttack/issues/155 and https://github.com/QData/TextAttack/issues/126",https://github.com/QData/TextAttack/blob/master/LICENSE is provided.,There are many files related to testing.,2025-07-10,9,56,3822.4,Natural Language Processing,3,"TextAttack 🐙  is a Python framework for adversarial attacks, data augmentation, and model training in NLP https://textattack.readthedocs.io/en/master/","adversarial-attacks, adversarial-examples, adversarial-machine-learning, data-augmentation, machine-learning, natural-language-processing, nlp, security",medium,2019-10-15T00:51:44Z
quantumblacklabs/kedro,Y,10549,4147,24084,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/quantumblacklabs/kedro/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/quantumblacklabs/kedro/blob/master/LICENSE.md,There are many files related to testing,2025-09-21,22,238,12603.7,MLOps / Deployment,5,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.","experiment-tracking, hacktoberfest, kedro, machine-learning, machine-learning-engineering, mlops, pipeline, python",medium,2019-04-18T10:29:56Z
ria-com/nomeroff-net,Y,486,1542,10722,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/ria-com/nomeroff-net/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",No commits the past month,"More closed than open, author does not respond frequently",https://github.com/ria-com/nomeroff-net/blob/master/LICENSE,There are many files related to testing,2025-09-26,23,9,927.0,Computer Vision,3,Nomeroff Net. Automatic numberplate recognition system.,,medium,2018-12-10T13:56:51Z
scikit-learn-contrib/imbalanced-learn,Y,7038,896,16049,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/scikit-learn-contrib/imbalanced-learn/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author does not respond frequently",https://github.com/scikit-learn-contrib/imbalanced-learn/blob/master/LICENSE,There are many files related to testing,2025-08-14,15,82,5544.0,Data Science / Traditional ML,6, A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning,"data-analysis, data-science, machine-learning, python, statistics",medium,2014-08-16T05:08:26Z
SeldonIO/alibi,Y,2558,677,20797,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/alibi/graphs/contributors shows that there are multiple contributors,The project uses Travis and Circle CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/SeldonIO/alibi/issues/256 and https://github.com/SeldonIO/alibi/issues/251 but not often as there's still a lot open issues",https://github.com/SeldonIO/alibi/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-23,37,22,1886.3,Domain-Specific Applications,5,Algorithms for explaining machine learning models,"counterfactual, explanations, interpretability, machine-learning, xai",medium,2019-02-26T10:10:56Z
SeldonIO/alibi-detect,Y,2429,746,24028,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SeldonIO/alibi-detect/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,Do reply to issues last time but not now,https://github.com/SeldonIO/alibi-detect/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-03,14,25,1945.4,Data Science / Traditional ML,3,"Algorithms for outlier, adversarial and drift detection","adversarial, anomaly, concept-drift, data-drift, detection, drift-detection, images, outlier, semi-supervised-learning, tabular-data, text, time-series, unsupervised-learning",medium,2019-10-07T13:29:13Z
skorch-dev/skorch,Y,6113,1123,20587,X The source code of the project exists as ad-hoc scripts.,"4-6 active contributers, 33 contributers in total",Travis used,Documentation not negligible,Commit activity not negligible,45 open << 266 closed,License provided,X Doesn't seem to have unit test,2025-08-15,46,62,4642.1,Data Science / Traditional ML,6,A scikit-learn compatible neural network library that wraps PyTorch,"hacktoberfest, huggingface, machine-learning, pytorch, scikit-learn",medium,2017-07-18T00:13:54Z
slundberg/shap,Y,24462,2867,23375,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 87 contributers",Travis used,Documentation provided,Commit activity not negligible,643 open >> 428 closed,License provided,A number of tests,2025-09-26,18,228,17484.9,Data Science / Traditional ML,8,A game theoretic approach to explain the output of any machine learning model.,"deep-learning, explainability, gradient-boosting, interpretability, machine-learning, shap, shapley",medium,2016-11-22T19:17:08Z
snap-stanford/ogb,N,2036,679,21473,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers out of 7,X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",1 open <<< 32 closed,License provided,X Doesn't seem to have unit test,2025-05-06,3,25,1768.1,Domain-Specific Applications,5,"Benchmark datasets, data loaders, and evaluators for graph machine learning","datasets, deep-learning, graph-machine-learning, graph-neural-networks",medium,2019-11-22T22:13:57Z
